device,backbone,precision,batch_size,mode,repeats,throughput_img_s,throughput_img_s_min,throughput_img_s_max,throughput_img_s_spread_pct,latency_ms_p50,latency_ms_p50_min,latency_ms_p50_max,latency_ms_p50_spread_pct,latency_ms_p95,latency_ms_p95_min,latency_ms_p95_max,latency_ms_p95_spread_pct,power_mean_w,power_mean_w_min,power_mean_w_max,power_mean_w_spread_pct,energy_j_per_image,energy_j_per_image_min,energy_j_per_image_max,energy_j_per_image_spread_pct,energy_j_per_image_above_idle,energy_j_per_image_above_idle_min,energy_j_per_image_above_idle_max,energy_j_per_image_above_idle_spread_pct
cuda,convnext_tiny,fp32,1,end_to_end,3,306.7,303.77,308.49,1.54,3.209,3.196,3.247,1.59,3.511,3.485,3.521,1.03,67.468,66.82,67.727,1.34,0.2168,0.216,0.2179,0.88,0.2039,0.2029,0.2049,0.98
cuda,convnext_tiny,fp32,1,inference_only,3,329.87,328.1,330.89,0.85,3.022,3.012,3.037,0.83,3.035,3.026,3.05,0.79,66.816,66.147,66.87,1.08,0.2002,0.2001,0.2008,0.35,0.1873,0.1857,0.1888,1.66
cuda,convnext_tiny,fp32,8,end_to_end,3,647.22,644.43,648.91,0.69,12.323,12.284,12.361,0.62,12.846,12.767,12.904,1.07,78.0,77.951,80.311,3.03,0.1195,0.1192,0.122,2.34,0.1134,0.113,0.1162,2.82
cuda,convnext_tiny,fp32,8,inference_only,3,684.76,684.71,686.87,0.32,11.632,11.589,11.642,0.46,11.871,11.837,12.123,2.41,89.946,89.86,90.108,0.28,0.1296,0.1296,0.1309,1.0,0.1241,0.1241,0.1242,0.08
cuda,convnext_tiny,fp32,32,end_to_end,3,621.55,621.52,624.65,0.5,51.434,50.949,51.473,1.02,52.574,52.263,52.623,0.68,79.955,79.568,80.121,0.69,0.1267,0.1266,0.1276,0.79,0.1205,0.1202,0.1208,0.5
cuda,convnext_tiny,fp32,32,inference_only,3,639.27,639.06,639.27,0.03,50.266,50.086,50.353,0.53,51.148,51.137,51.175,0.07,86.138,84.774,86.578,2.09,0.1335,0.1313,0.1342,2.17,0.1271,0.125,0.1278,2.2
cuda,resnet50,bf16,1,end_to_end,3,393.55,381.1,404.0,5.82,2.469,2.468,2.589,4.9,3.34,2.747,3.539,23.71,39.242,39.206,39.666,1.17,0.1005,0.0967,0.1017,4.98,0.0884,0.0851,0.0901,5.66
cuda,resnet50,bf16,1,inference_only,3,528.65,525.79,531.7,1.12,1.882,1.873,1.892,1.01,1.91,1.899,1.925,1.36,40.131,39.402,40.408,2.51,0.0749,0.0747,0.0756,1.2,0.0663,0.0657,0.0672,2.26
cuda,resnet50,bf16,8,end_to_end,3,1135.51,1100.92,1143.25,3.73,6.164,6.156,6.242,1.4,7.057,6.948,7.067,1.69,58.981,58.801,59.503,1.19,0.0519,0.0511,0.0541,5.78,0.0476,0.0472,0.0496,5.04
cuda,resnet50,bf16,8,inference_only,3,1372.06,1370.51,1389.15,1.36,5.813,5.743,5.818,1.29,5.836,5.765,5.839,1.27,60.776,60.612,61.057,0.73,0.0438,0.0433,0.0441,1.83,0.0406,0.0402,0.041,1.97
cuda,resnet50,bf16,32,end_to_end,3,996.19,958.61,1002.72,4.43,27.678,27.448,27.753,1.1,30.167,29.843,30.276,1.44,53.825,52.652,54.008,2.52,0.0537,0.0533,0.0544,2.05,0.0491,0.049,0.0498,1.63
cuda,resnet50,bf16,32,inference_only,3,1231.99,1229.37,1235.71,0.51,26.054,25.812,26.211,1.53,26.83,26.602,26.989,1.44,54.795,54.442,55.086,1.18,0.0439,0.0438,0.0446,1.82,0.0404,0.0403,0.0408,1.24
cuda,resnet50,fp16,1,end_to_end,3,383.75,383.22,385.27,0.53,2.536,2.514,2.58,2.6,3.522,3.444,3.551,3.04,39.52,39.393,40.947,3.93,0.1026,0.1012,0.1054,4.09,0.0901,0.0899,0.094,4.55
cuda,resnet50,fp16,1,inference_only,3,542.22,540.76,544.16,0.63,1.837,1.831,1.841,0.54,1.861,1.853,1.876,1.24,40.541,40.233,41.055,2.03,0.0745,0.0733,0.0748,2.01,0.0659,0.0652,0.0665,1.97
cuda,resnet50,fp16,8,end_to_end,3,1171.84,1166.47,1173.94,0.64,6.021,6.009,6.053,0.73,6.892,6.807,7.026,3.18,58.313,58.273,59.808,2.63,0.0496,0.0493,0.0502,1.81,0.0458,0.0455,0.0469,3.06
cuda,resnet50,fp16,8,inference_only,3,1432.64,1406.78,1445.81,2.72,5.565,5.518,5.669,2.71,5.584,5.539,5.691,2.72,60.049,59.905,61.559,2.75,0.0422,0.0413,0.0423,2.37,0.0392,0.0384,0.0392,2.04
cuda,resnet50,fp16,32,end_to_end,3,1042.4,1032.83,1052.46,1.88,26.687,26.642,27.065,1.59,29.619,29.298,30.769,4.97,52.84,52.757,52.927,0.32,0.0498,0.0494,0.0509,3.01,0.0459,0.0457,0.0464,1.53
cuda,resnet50,fp16,32,inference_only,3,1270.48,1262.63,1270.64,0.63,25.432,25.236,25.459,0.88,25.773,25.625,26.251,2.43,53.972,53.452,54.205,1.4,0.0421,0.0415,0.0422,1.66,0.0388,0.0382,0.0389,1.8
cuda,resnet50,fp32,1,end_to_end,3,339.1,324.97,339.94,4.41,2.87,2.805,3.08,9.58,3.714,3.527,3.786,6.97,50.104,49.859,50.793,1.86,0.1476,0.1473,0.1516,2.91,0.1351,0.1334,0.1384,3.7
cuda,resnet50,fp32,1,inference_only,3,403.65,402.08,406.06,0.99,2.467,2.453,2.477,0.97,2.481,2.465,2.489,0.97,45.905,45.901,46.318,0.91,0.113,0.1119,0.1135,1.42,0.102,0.101,0.1027,1.67
cuda,resnet50,fp32,8,end_to_end,3,651.73,644.32,655.95,1.78,12.264,12.022,12.411,3.17,13.113,12.907,13.293,2.94,53.644,53.198,53.808,1.14,0.081,0.0806,0.0815,1.11,0.0748,0.0746,0.075,0.53
cuda,resnet50,fp32,8,inference_only,3,696.91,684.71,708.38,3.4,11.3,11.072,11.485,3.65,12.083,11.894,12.299,3.35,49.878,49.874,50.336,0.93,0.0709,0.0708,0.072,1.69,0.0646,0.0642,0.0657,2.32
cuda,resnet50,fp32,32,end_to_end,3,569.75,567.79,572.0,0.74,55.991,55.944,56.221,0.49,57.346,56.69,57.36,1.17,49.417,49.33,49.502,0.35,0.0863,0.0854,0.0864,1.16,0.0782,0.078,0.0783,0.38
cuda,resnet50,fp32,32,inference_only,3,592.33,591.22,592.46,0.21,54.078,54.056,54.093,0.07,54.865,54.796,54.945,0.27,45.573,45.57,45.723,0.34,0.076,0.076,0.0765,0.66,0.0688,0.0687,0.069,0.44
cuda,vit_b_16,bf16,1,end_to_end,3,459.26,459.11,467.81,1.89,2.093,2.089,2.111,1.05,2.539,2.483,2.66,6.97,69.601,69.186,71.931,3.94,0.1514,0.1489,0.1536,3.1,0.1409,0.1401,0.1433,2.27
cuda,vit_b_16,bf16,1,inference_only,3,544.08,543.31,544.69,0.25,1.83,1.829,1.833,0.22,1.841,1.84,1.846,0.33,76.414,76.408,76.736,0.43,0.1395,0.1392,0.1397,0.36,0.1317,0.1315,0.1319,0.3
cuda,vit_b_16,bf16,8,end_to_end,3,1069.98,1066.78,1088.59,2.04,6.429,6.422,6.439,0.26,7.03,6.993,7.078,1.21,68.177,67.038,68.305,1.86,0.0625,0.0624,0.0634,1.6,0.0583,0.0583,0.0592,1.54
cuda,vit_b_16,bf16,8,inference_only,3,1317.34,1314.74,1322.69,0.6,6.041,6.028,6.042,0.23,6.153,6.091,6.359,4.36,88.754,88.251,89.107,0.96,0.0664,0.0663,0.0674,1.66,0.0634,0.0634,0.0639,0.79
cuda,vit_b_16,bf16,32,end_to_end,3,983.19,967.97,1007.96,4.07,26.911,26.885,26.991,0.39,28.948,28.229,29.117,3.07,69.496,69.214,70.203,1.42,0.0706,0.069,0.0709,2.69,0.0664,0.0641,0.0665,3.61
cuda,vit_b_16,bf16,32,inference_only,3,1252.44,1251.79,1260.58,0.7,25.412,25.237,25.504,1.05,26.06,25.959,26.321,1.39,86.634,86.353,87.093,0.85,0.0688,0.0682,0.0689,1.02,0.0653,0.0646,0.0656,1.53
cuda,vit_b_16,fp16,1,end_to_end,3,461.63,455.89,463.47,1.64,2.132,2.093,2.147,2.53,2.631,2.531,2.664,5.06,70.786,70.274,70.97,0.98,0.1512,0.1505,0.1539,2.25,0.1422,0.1417,0.145,2.32
cuda,vit_b_16,fp16,1,inference_only,3,561.72,561.38,565.72,0.77,1.77,1.761,1.775,0.79,1.783,1.773,1.787,0.79,79.898,78.645,80.207,1.95,0.1407,0.1386,0.1408,1.56,0.1331,0.1314,0.1335,1.58
cuda,vit_b_16,fp16,8,end_to_end,3,1093.42,1084.86,1097.93,1.2,6.49,6.441,6.49,0.76,7.037,6.984,7.067,1.18,70.082,67.511,70.893,4.83,0.0637,0.0617,0.064,3.61,0.0596,0.0577,0.0601,4.03
cuda,vit_b_16,fp16,8,inference_only,3,1310.57,1302.99,1331.48,2.17,6.079,5.969,6.079,1.81,6.302,6.185,6.446,4.14,89.061,86.936,89.475,2.85,0.0667,0.066,0.0677,2.55,0.0632,0.063,0.0645,2.37
cuda,vit_b_16,fp16,32,end_to_end,3,987.93,979.45,999.17,2.0,27.343,27.237,27.355,0.43,28.854,28.845,28.946,0.35,69.338,69.231,71.229,2.88,0.0701,0.0684,0.0716,4.56,0.0658,0.0644,0.0672,4.26
cuda,vit_b_16,fp16,32,inference_only,3,1239.9,1238.94,1245.46,0.53,25.58,25.53,25.59,0.23,26.396,26.292,26.408,0.44,86.141,84.901,86.466,1.82,0.069,0.0682,0.0693,1.59,0.0652,0.0645,0.0659,2.15
cuda,vit_b_16,fp32,1,end_to_end,3,157.48,157.46,158.14,0.43,6.293,6.283,6.33,0.75,6.514,6.452,6.646,2.98,79.059,78.431,79.468,1.31,0.4933,0.4914,0.4983,1.4,0.4691,0.467,0.4737,1.43
cuda,vit_b_16,fp32,1,inference_only,3,165.04,163.95,165.1,0.7,6.047,6.044,6.085,0.68,6.069,6.063,6.105,0.69,79.466,79.236,80.101,1.09,0.48,0.4773,0.4826,1.1,0.4535,0.4518,0.4558,0.88
cuda,vit_b_16,fp32,8,end_to_end,3,273.15,271.79,273.84,0.75,29.242,29.167,29.352,0.63,29.828,29.601,30.191,1.98,87.53,86.818,87.697,1.0,0.3169,0.3154,0.3197,1.36,0.3024,0.3015,0.3026,0.36
cuda,vit_b_16,fp32,8,inference_only,3,280.75,279.64,281.72,0.74,28.434,28.335,28.434,0.35,28.99,28.803,29.621,2.82,92.603,91.376,92.708,1.44,0.3259,0.3214,0.328,2.03,0.3114,0.3081,0.3141,1.93
cuda,vit_b_16,fp32,32,end_to_end,3,276.82,275.66,278.27,0.94,115.447,114.935,115.542,0.53,116.894,115.992,119.533,3.03,87.873,87.647,88.175,0.6,0.3147,0.3114,0.3156,1.33,0.3009,0.2974,0.3011,1.23
cuda,vit_b_16,fp32,32,inference_only,3,279.68,277.98,282.32,1.55,114.464,113.203,114.652,1.27,116.832,114.159,118.249,3.5,89.897,89.524,90.892,1.52,0.3184,0.3163,0.3199,1.13,0.3045,0.304,0.3047,0.23
